Name,Goal,Asist,Total Point,Currently Playing,nation,Source
Luka Modric,2,3,5,Real Madrid,Croatia ,http://www.espnfc.co.uk/player/76762/luka-modric
Héctor Bellerín,3,2,5,Arsenal,Unknown,http://www.espnfc.co.uk/player/178978/hector-bellerin
Almamy Touré,0,5,5,AS Monaco,Unknown,http://www.espnfc.co.uk/player/206371/almamy-toure
Mats Hummels,3,2,5,Bayern Munich,Germany ,http://www.espnfc.co.uk/player/84627/mats-hummels
Antonio Rüdiger,3,2,5,Chelsea,Unknown,http://www.espnfc.co.uk/player/169438/antonio-rudiger
Aleix Vidal,2,3,5,Barcelona,Unknown,http://www.espnfc.co.uk/player/143030/aleix-vidal
Guido Carrillo,5,0,5,AS Monaco,Argentina ,http://www.espnfc.co.uk/player/154738/guido-carrillo
Luciano Vietto,4,1,5,Atletico Madrid,Argentina ,http://www.espnfc.co.uk/player/168277/luciano-vietto
Georginio Wijnaldum,2,3,5,Liverpool,Netherlands ,http://www.espnfc.co.uk/player/98342/georginio-wijnaldum
Jack Wilshere,2,3,5,Arsenal,England ,http://www.espnfc.co.uk/player/122089/jack-wilshere
Lucas Moura,2,3,5,Paris Saint-Germain ,Brazil ,http://www.espnfc.us/player/130711/lucas-moura
Rachid Ghezzal,2,3,5,AS Monaco,Unknown,http://www.espnfc.co.uk/player/173214/rachid-ghezzal
Dominic Solanke,3,2,5,Liverpool,Unknown,http://www.espnfc.co.uk/player/194115/dominic-solanke
Marco Verratti,2,3,5,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/134847/marco-verratti
Erik Lamela,1,4,5,Tottenham Hotspur,Argentina ,http://www.espnfc.co.uk/player/130870/erik-lamela
John Stones,5,0,5,Manchester City,England ,http://www.espnfc.co.uk/player/157974/john-stones
Sergio Ramos,4,1,5,Real Madrid,Spain ,http://www.espnfc.co.uk/player/41579/sergio-ramos
Victor Moses,3,2,5,Chelsea,Nigeria ,http://www.espnfc.co.uk/player/112547/victor-moses
Giovani Lo Celso,2,3,5,Paris Saint-Germain ,Argentina ,http://www.espnfc.us/player/207343/giovani-lo-celso
Marquinhos,2,3,5,Paris Saint-Germain ,Brazil ,http://www.espnfc.us/player/159047/marquinhos
Daniel Carvajal,0,4,4,Real Madrid,Unknown,http://www.espnfc.co.uk/player/168531/daniel-carvajal
Per Mertesacker,3,1,4,Arsenal,"Hannover, Germany ",http://www.espnfc.co.uk/player/34041/per-mertesacker
Andrés Iniesta,1,3,4,Barcelona,Spain ,http://www.espnfc.co.uk/player/17566/andres-iniesta
Wilfred Ndidi,1,3,4,Leicester City,Unknown,http://www.espnfc.co.uk/player/187638/wilfred-ndidi
Nacho,4,0,4,Real Madrid,Spain ,http://www.espnfc.co.uk/player/157710/nacho
Hiroki Sakai,0,4,4,Marseille,Unknown,http://www.espnfc.co.uk/player/157692/hiroki-sakai
Javi Martínez,2,2,4,Bayern Munich,Spain ,http://www.espnfc.co.uk/player/85298/javi-martinez
Kostas Mitroglou,4,0,4,Marseille,Unknown,http://www.espnfc.co.uk/player/108333/kostas-mitroglou
Yuri Berchiche,2,2,4,Paris Saint-Germain ,Spain ,http://www.espnfc.us/player/133768/yuri-berchiche
Jordan Amavi,0,4,4,Marseille,Unknown,http://www.espnfc.co.uk/player/192058/jordan-amavi
Mohamed Elneny,2,2,4,Arsenal,Egypt ,http://www.espnfc.co.uk/player/183896/mohamed-elneny
Gerard Piqué,4,0,4,Barcelona,Spain ,http://www.espnfc.co.uk/player/45931/gerard-pique
Mateo Kovacic,1,3,4,Real Madrid,Unknown,http://www.espnfc.co.uk/player/154595/mateo-kovacic
Danilo,2,2,4,Manchester City,"Campinas, Brazil ",http://www.espnfc.co.uk/player/170369/danilo
Juanfran,0,4,4,Atletico Madrid,Spain ,http://www.espnfc.co.uk/player/53416/juanfran
Christian Fuchs,0,3,3,Leicester City,Austria ,http://www.espnfc.co.uk/player/37323/christian-fuchs
Toni Lato,1,2,3,Valencia,Unknown,http://www.espnfc.co.uk/player/232275/toni-lato
Claudio Marchisio,2,1,3,Juventus,Italy ,http://www.espnfc.co.uk/player/104334/claudio-marchisio
Martin Montoya,0,3,3,Valencia,Spain ,http://www.espnfc.co.uk/player/137425/martin-montoya
Ousmane Dembélé,0,3,3,Barcelona,Unknown,http://www.espnfc.co.uk/player/229744/ousmane-dembele
Alberto Moreno,0,3,3,Liverpool,Unknown,http://www.espnfc.co.uk/player/172998/alberto-moreno
José Gayà,0,3,3,Valencia,Unknown,http://www.espnfc.co.uk/player/178747/jose-gaya
Jorge,1,2,3,AS Monaco,Unknown,http://www.espnfc.co.uk/player/202607/jorge
Trent Alexander-Arnold,2,1,3,Liverpool,Unknown,http://www.espnfc.co.uk/player/223532/trent-alexander-arnold
Vicente Iborra ,1,2,3,Leicester City,Spain ,http://www.espnfc.co.uk/player/125206/vicente-iborra
Eric Dier,1,2,3,Tottenham Hotspur,England ,http://www.espnfc.co.uk/player/155532/eric-dier
Shkodran Mustafi,2,1,3,Arsenal,Germany ,http://www.espnfc.co.uk/player/136862/shkodran-mustafi
David Alaba,1,2,3,Bayern Munich,Austria ,http://www.espnfc.co.uk/player/118444/david-alaba
Antonio Valencia,3,0,3,Manchester United,Ecuador ,http://www.espnfc.co.uk/player/65629/antonio-valencia
José Giménez,2,1,3,Atletico Madrid,Uruguay ,http://www.espnfc.co.uk/player/188398/jose-gimenez
Dani Ceballos ,2,1,3,Real Madrid,Unknown,http://www.espnfc.co.uk/player/202717/dani-ceballos
Lucas Hernández,1,2,3,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/196200/lucas-hernandez
Filipe Luís,1,2,3,Atletico Madrid,Brazil ,http://www.espnfc.co.uk/player/52994/filipe-luis
Matteo Darmian,0,3,3,Manchester United,Italy ,http://www.espnfc.co.uk/player/91873/matteo-darmian
Adama Traoré,3,0,3,AS Monaco,Mali ,http://www.espnfc.co.uk/player/139087/adama-traore
Youri Tielemans,1,2,3,AS Monaco,Unknown,http://www.espnfc.co.uk/player/193297/youri-tielemans
Daley Blind,1,2,3,Manchester United,Netherlands ,http://www.espnfc.co.uk/player/126489/daley-blind
Davide Zappacosta,2,1,3,Chelsea,Unknown,http://www.espnfc.co.uk/player/182627/davide-zappacosta
Adil Rami,2,1,3,Marseille,France ,http://www.espnfc.co.uk/player/98688/adil-rami
Theo Hernández,0,3,3,Real Madrid,Unknown,http://www.espnfc.co.uk/player/233621/theo-hernandez
